,Unnamed: 0,TrackSegment,TourID,DateTime,Latitude,Longitude,A2_RSSI,SNR,avg_snr,avg_rssi,Failure,TS
3580,28286,110,29900487.0,2021-06-01 17:48:12,47.3162253122642,8.052807501411026,2.31,1.0,1.000000000000001,2.3200000000000003,0,1622532972
3581,28287,110,29904902.0,2021-06-01 17:59:15,47.316212132948685,8.052811070785058,2.26,1.0,1.000000000000001,2.3120000000000003,0,1622533635
3582,28288,110,29909343.0,2021-06-01 20:15:50,47.31623671162384,8.052809838574657,2.3,1.0,1.000000000000001,2.2860000000000005,0,1622535350
4038,31822,111,29868297.0,2021-06-01 06:31:24,47.31708297815168,8.052714742618141,2.4,1.0,1.000000000000001,2.4019999999999997,0,1622516124
4039,31823,111,29872733.0,2021-06-01 06:44:48,47.31712520216643,8.052699159115058,2.43,1.0,1.000000000000001,2.4080000000000004,0,1622516928
4040,31824,111,29891348.0,2021-06-01 15:15:47,47.31710606791852,8.052706187526134,2.37,1.0,1.000000000000001,2.3800000000000003,0,1622528147
4041,31825,111,29895811.0,2021-06-01 15:29:45,47.31712246628053,8.052700131545652,2.34,1.0,1.000000000000001,2.3680000000000008,0,1622528985
4042,31826,111,29900487.0,2021-06-01 17:48:05,47.31711907794053,8.052701172943987,2.41,1.0,1.000000000000001,2.390000000000001,0,1622532965
4043,31827,111,29904902.0,2021-06-01 17:59:22,47.31708494626678,8.052712543813799,2.26,1.0,1.000000000000001,2.3620000000000005,0,1622533642
4044,31828,111,29909343.0,2021-06-01 20:15:43,47.317151594141635,8.052688916940703,2.44,0.8,0.9600000000000012,2.3640000000000003,0,1622535343
4500,35361,112,29868297.0,2021-06-01 06:31:17,47.31792856142733,8.052492630410327,1.79,1.0,1.000000000000001,1.8780000000000008,0,1622516117
4501,35362,112,29872733.0,2021-06-01 06:44:55,47.317957067600965,8.052490004839072,2.23,1.0,1.000000000000001,1.9520000000000004,0,1622516935
4502,35363,112,29891348.0,2021-06-01 15:15:40,47.31794268233647,8.052491779574392,1.93,1.0,1.000000000000001,1.9040000000000008,0,1622528140
4503,35364,112,29895811.0,2021-06-01 15:29:52,47.31796182952305,8.052491901875188,1.89,1.0,1.000000000000001,1.9320000000000004,0,1622528992
4504,35365,112,29900487.0,2021-06-01 17:47:58,47.31796160948628,8.052492463514508,1.89,1.0,1.000000000000001,1.9460000000000004,0,1622532958
4505,35366,112,29904902.0,2021-06-01 17:59:30,47.31800140465308,8.052497517609046,1.72,1.0,1.000000000000001,1.9320000000000004,0,1622533650
4506,35367,112,29909343.0,2021-06-01 20:15:36,47.31798907937802,8.052492369488471,1.86,1.0,1.000000000000001,1.8580000000000003,0,1622535336
4962,38900,113,29868297.0,2021-06-01 06:31:07,47.31888023099718,8.052639196536521,2.13,1.0,0.9500000000000012,2.136000000000001,0,1622516107
4963,38901,113,29872733.0,2021-06-01 06:45:02,47.31882631000632,8.052630235531312,2.26,1.0,1.000000000000001,2.1760000000000006,0,1622516942
4964,38902,113,29891348.0,2021-06-01 15:15:32,47.318842475664646,8.052632933161698,2.16,1.0,1.000000000000001,2.1620000000000004,0,1622528132
4965,38903,113,29895811.0,2021-06-01 15:30:00,47.318847761258795,8.052634170563778,2.0,1.0,1.000000000000001,2.1220000000000008,0,1622529000
4966,38904,113,29900487.0,2021-06-01 17:47:49,47.31889038943601,8.052641129407746,2.16,1.0,1.000000000000001,2.1420000000000003,0,1622532949
4967,38905,113,29904902.0,2021-06-01 17:59:39,47.31891224772151,8.05264562399129,2.06,1.0,1.000000000000001,2.128000000000001,0,1622533659
4968,38906,113,29909343.0,2021-06-01 20:15:28,47.3188787738529,8.052639588364006,2.06,0.8,0.9600000000000012,2.0880000000000005,0,1622535328
5424,42439,114,29868297.0,2021-06-01 06:29:37,47.319730023057254,8.052796991497996,2.29,1.0,1.000000000000001,2.250000000000001,0,1622516017
5425,42440,114,29872733.0,2021-06-01 06:45:10,47.31980111868001,8.052812013947769,2.26,1.0,1.000000000000001,2.2620000000000005,0,1622516950
5426,42441,114,29891348.0,2021-06-01 15:14:33,47.31971261486385,8.052793343255779,2.24,1.0,1.000000000000001,2.2580000000000005,0,1622528073
5427,42442,114,29895811.0,2021-06-01 15:30:09,47.32004423937504,8.05286277571787,2.16,1.0,1.000000000000001,2.230000000000001,0,1622529009
5428,42443,114,29900487.0,2021-06-01 17:45:18,47.319555637061654,8.052760248162969,2.26,1.0,1.000000000000001,2.2420000000000004,0,1622532798
5429,42444,114,29904902.0,2021-06-01 17:59:49,47.31988903927425,8.052830467681662,2.06,1.0,1.000000000000001,2.1960000000000006,0,1622533669
5430,42445,114,29909343.0,2021-06-01 20:14:24,47.31977582156339,8.052806611674482,2.41,1.0,1.000000000000001,2.2260000000000004,0,1622535264
5886,45978,115,29868297.0,2021-06-01 06:29:23,47.320578959244884,8.052970632839104,2.3,1.0,1.000000000000001,2.3680000000000008,0,1622516003
5887,45979,115,29872733.0,2021-06-01 06:45:24,47.32036100491518,8.052927583198564,2.5,1.0,1.000000000000001,2.400000000000001,0,1622516964
5888,45980,115,29891348.0,2021-06-01 15:14:22,47.320586611304634,8.052972163242725,2.34,0.8,0.9600000000000012,2.374,0,1622528062
5889,45981,115,29895811.0,2021-06-01 15:31:19,47.32057491266901,8.05296981411373,2.44,1.0,0.9600000000000012,2.4020000000000006,0,1622529079
5890,45982,115,29900487.0,2021-06-01 17:45:07,47.320629163777035,8.052980587064571,2.16,1.0,0.9600000000000012,2.3480000000000003,0,1622532787
5891,45983,115,29904902.0,2021-06-01 18:01:55,47.32062712920364,8.052980644699582,2.41,1.0,0.9600000000000012,2.370000000000001,0,1622531635
5892,45984,115,29909343.0,2021-06-01 20:14:16,47.320604457931935,8.052975724931281,2.37,1.0,0.9600000000000012,2.3440000000000003,0,1622535256
6348,49517,116,29868297.0,2021-06-01 06:29:16,47.32149235002654,8.053180734063199,2.16,1.0,1.000000000000001,2.2380000000000004,0,1622515996
6349,49518,116,29872733.0,2021-06-01 06:46:07,47.32147014564451,8.053174989657473,2.4,1.0,1.000000000000001,2.2840000000000007,0,1622517007
6350,49519,116,29891348.0,2021-06-01 15:14:14,47.32149489848764,8.053181470845711,2.23,1.0,1.000000000000001,2.250000000000001,0,1622528054
6351,49520,116,29895811.0,2021-06-01 15:31:31,47.32150358171526,8.053183619027806,2.3,1.0,1.000000000000001,2.2840000000000003,0,1622529091
6352,49521,116,29900487.0,2021-06-01 17:44:59,47.321471129517185,8.053175338445985,2.13,1.0,1.000000000000001,2.2440000000000007,0,1622532779
6353,49522,116,29904902.0,2021-06-01 18:02:05,47.32153628871336,8.053191784255556,2.3,1.0,1.000000000000001,2.272,0,1622531645
6354,49523,116,29909343.0,2021-06-01 20:14:10,47.32149041645668,8.053180202694094,2.2,1.0,1.000000000000001,2.2319999999999998,0,1622535250
6810,53056,117,29868297.0,2021-06-01 06:29:11,47.322439523258865,8.053465014430284,2.3,1.0,1.000000000000001,2.2380000000000004,0,1622515991
6811,53057,117,29872733.0,2021-06-01 06:46:15,47.32237350790517,8.053442227140357,2.2,1.0,1.000000000000001,2.2180000000000004,0,1622517015
6812,53058,117,29891348.0,2021-06-01 15:14:08,47.32240755300896,8.053453606447578,2.33,1.0,1.000000000000001,2.2580000000000005,0,1622528048
6813,53059,117,29895811.0,2021-06-01 15:31:40,47.32241288218536,8.053455582523661,2.2,1.0,1.000000000000001,2.2380000000000004,0,1622529100
6814,53060,117,29900487.0,2021-06-01 17:44:53,47.32235699950157,8.053436122578963,2.26,1.0,1.000000000000001,2.2580000000000005,0,1622532773
6815,53061,117,29904902.0,2021-06-01 18:02:13,47.32240043424942,8.053451009482359,2.2,1.0,1.000000000000001,2.2380000000000004,0,1622531653
6816,53062,117,29909343.0,2021-06-01 20:14:05,47.32240982195121,8.05345461416238,2.33,1.0,1.000000000000001,2.264,0,1622535245
7272,56595,118,29868297.0,2021-06-01 06:29:07,47.32327686113598,8.053764664937367,2.37,1.0,1.000000000000001,2.3540000000000005,0,1622515987
7273,56596,118,29872733.0,2021-06-01 06:46:22,47.3232456876309,8.053753686933439,2.37,1.0,1.000000000000001,2.3620000000000005,0,1622517022
7274,56597,118,29891348.0,2021-06-01 15:14:02,47.32329653367075,8.05377045280726,2.4,1.0,1.000000000000001,2.3620000000000005,0,1622528042
7275,56598,118,29895811.0,2021-06-01 15:31:47,47.32331678194225,8.053777456096087,2.33,1.0,1.000000000000001,2.354,0,1622529107
7276,56599,118,29900487.0,2021-06-01 17:44:47,47.323257685078964,8.053756717641418,2.37,1.0,1.000000000000001,2.3680000000000008,0,1622532767
7277,56600,118,29904902.0,2021-06-01 18:02:19,47.32322390048316,8.053745922759836,2.3,1.0,1.000000000000001,2.354,0,1622531659
7278,56601,118,29909343.0,2021-06-01 20:14:00,47.323314309475315,8.053776766555806,2.4,1.0,1.000000000000001,2.3600000000000003,0,1622535240
7734,60134,119,29868297.0,2021-06-01 06:29:02,47.32414072468153,8.05404571042859,2.26,1.0,1.000000000000001,2.3520000000000003,0,1622515982
7735,60135,119,29872733.0,2021-06-01 06:46:27,47.324082441621,8.054027182331874,2.54,1.0,1.000000000000001,2.4140000000000006,0,1622517027
7736,60136,119,29891348.0,2021-06-01 15:13:57,47.32419110792964,8.054061727186895,2.27,1.0,1.000000000000001,2.3540000000000005,0,1622528037
7737,60137,119,29895811.0,2021-06-01 15:31:53,47.324228149272344,8.054073502573662,2.44,1.0,1.000000000000001,2.3880000000000003,0,1622529113
7738,60138,119,29900487.0,2021-06-01 17:44:42,47.324198832190675,8.054064182717784,2.26,1.0,1.000000000000001,2.3540000000000005,0,1622532762
7739,60139,119,29904902.0,2021-06-01 18:02:25,47.32408062759,8.054026605654165,2.4,1.0,1.000000000000001,2.382000000000001,0,1622531665
7740,60140,119,29909343.0,2021-06-01 20:13:56,47.32415209163386,8.054049323965524,2.4,1.0,1.000000000000001,2.354,0,1622535236
8196,63673,120,29868297.0,2021-06-01 06:28:58,47.32500998270661,8.054321278342496,2.09,1.0,1.000000000000001,2.14,0,1622515978
8197,63674,120,29872733.0,2021-06-01 06:46:32,47.324953612843245,8.054303491521695,2.4,1.0,1.000000000000001,2.2100000000000004,0,1622517032
8198,63675,120,29891348.0,2021-06-01 15:13:52,47.32503794966975,8.054329764650996,2.1,1.0,1.000000000000001,2.1700000000000004,0,1622528032
8199,63676,120,29895811.0,2021-06-01 15:31:58,47.325082426121504,8.054343442266129,2.2,1.0,1.000000000000001,2.1840000000000006,0,1622529118
8200,63677,120,29900487.0,2021-06-01 17:44:37,47.325086845881565,8.05434461661039,2.13,1.0,1.000000000000001,2.184,0,1622532757
8201,63678,120,29904902.0,2021-06-01 18:02:31,47.32501445174984,8.054322101315009,2.24,1.0,1.000000000000001,2.2140000000000004,0,1622531671
8202,63679,120,29909343.0,2021-06-01 20:13:51,47.32500564890285,8.054319491159635,2.13,1.0,1.000000000000001,2.1600000000000006,0,1622535231
8658,67207,121,29868297.0,2021-06-01 06:28:54,47.32575826982679,8.054545906074765,2.3,1.0,1.000000000000001,2.3020000000000005,0,1622515974
8659,67208,121,29872733.0,2021-06-01 06:46:37,47.32574636628995,8.054542560079721,2.47,1.0,1.000000000000001,2.3280000000000007,0,1622517037
8660,67209,121,29891348.0,2021-06-01 15:13:48,47.325870802598494,8.054568595902955,2.37,1.0,1.000000000000001,2.3200000000000007,0,1622528028
8661,67210,121,29895811.0,2021-06-01 15:32:03,47.32577057838066,8.054550988428945,2.06,1.0,1.000000000000001,2.266000000000001,0,1622529123
8662,67211,121,29900487.0,2021-06-01 17:44:34,47.32579173191698,8.054556996026554,2.3,1.0,1.000000000000001,2.3000000000000003,0,1622532754
8663,67212,121,29904902.0,2021-06-01 18:02:37,47.325897070194394,8.054575287511316,2.16,1.0,1.000000000000001,2.2720000000000007,0,1622531677
8664,67213,121,29909343.0,2021-06-01 20:13:48,47.32577767315938,8.05455262904726,2.27,1.0,1.000000000000001,2.2320000000000007,0,1622535228
9120,70741,122,29868297.0,2021-06-01 06:28:49,47.326826594747324,8.054674778943255,2.33,1.0,1.000000000000001,2.3060000000000005,0,1622515969
9121,70742,122,29872733.0,2021-06-01 06:46:41,47.3268231838373,8.054674616581199,2.37,1.0,1.000000000000001,2.3260000000000005,0,1622517041
9122,70743,122,29891348.0,2021-06-01 15:13:43,47.32683772448925,8.054675166437002,2.2,0.8,0.9600000000000012,2.2780000000000005,0,1622528023
9123,70744,122,29895811.0,2021-06-01 15:32:06,47.326813629264926,8.054673342273551,2.24,1.0,0.9600000000000012,2.28,0,1622529126
9124,70745,122,29900487.0,2021-06-01 17:44:29,47.326767917951386,8.054676182614493,2.27,1.0,0.9600000000000012,2.282000000000001,0,1622532749
9125,70746,122,29904902.0,2021-06-01 18:02:41,47.32684006254932,8.054675704149053,2.23,1.0,0.9600000000000012,2.2620000000000005,0,1622531681
9126,70747,122,29909343.0,2021-06-01 20:13:43,47.32679698641839,8.054674951504786,2.16,1.0,0.9600000000000012,2.2200000000000006,0,1622535223
9582,74275,123,29868297.0,2021-06-01 06:28:43,47.32774951411154,8.054593678010836,2.5,1.0,1.000000000000001,2.420000000000001,0,1622515963
9583,74276,123,29872733.0,2021-06-01 06:46:46,47.327748023788175,8.054593881207612,2.3,1.0,1.000000000000001,2.3800000000000003,0,1622517046
9584,74277,123,29891348.0,2021-06-01 15:13:37,47.327725658611705,8.054596738989687,2.5,1.0,1.000000000000001,2.406,0,1622528017
9585,74278,123,29895811.0,2021-06-01 15:32:12,47.32775952084111,8.054592713711278,2.34,1.0,1.000000000000001,2.374,0,1622529132
9586,74279,123,29900487.0,2021-06-01 17:44:23,47.327670181226786,8.05460360994335,2.47,0.8,0.9600000000000014,2.4220000000000006,0,1622532743
9587,74280,123,29904902.0,2021-06-01 18:02:46,47.32773740653906,8.054595056766024,2.33,1.0,0.9600000000000014,2.388000000000001,0,1622531686
9588,74281,123,29909343.0,2021-06-01 20:13:38,47.327672351768605,8.054603768110022,2.51,1.0,0.9600000000000014,2.4300000000000006,0,1622535218
10044,77809,124,29868297.0,2021-06-01 06:28:36,47.32864710286988,8.054519658678473,2.03,1.0,0.9500000000000021,2.1780000000000004,0,1622515956
10045,77810,124,29872733.0,2021-06-01 06:46:52,47.3286654452041,8.054520134582633,2.13,1.0,0.9500000000000021,2.1919999999999997,0,1622517052
10046,77811,124,29891348.0,2021-06-01 15:13:29,47.328662179840315,8.054520438348451,2.37,1.0,0.9500000000000021,2.1580000000000004,0,1622528009
10047,77812,124,29895811.0,2021-06-01 15:32:18,47.32858347199735,8.054519295971106,2.03,1.0,0.9500000000000021,2.1180000000000003,0,1622529138
10048,77813,124,29900487.0,2021-06-01 17:44:14,47.32864161231322,8.054521738369617,2.06,1.0,1.000000000000002,2.124000000000001,0,1622532734
10049,77814,124,29904902.0,2021-06-01 18:02:53,47.3286517376546,8.054519890387775,2.54,1.0,1.000000000000002,2.2260000000000004,0,1622531693
10050,77815,124,29909343.0,2021-06-01 20:13:30,47.32861891641747,8.054522645271371,2.05,1.0,1.000000000000002,2.2100000000000004,0,1622535210
10506,81343,125,29868297.0,2021-06-01 06:27:16,47.329456167396366,8.05453985811194,2.36,1.0,1.000000000000002,2.3660000000000005,0,1622515876
10507,81344,125,29872733.0,2021-06-01 06:46:59,47.329576494376184,8.054544783593961,2.37,1.0,1.000000000000002,2.3660000000000005,0,1622517059
10508,81345,125,29891348.0,2021-06-01 15:12:52,47.329466323565924,8.054540299435143,2.37,1.0,1.000000000000002,2.3660000000000005,0,1622527972
10509,81346,125,29895811.0,2021-06-01 15:32:24,47.329456655925895,8.054540428945876,2.4,1.0,1.000000000000002,2.374000000000001,0,1622529144
10510,81347,125,29900487.0,2021-06-01 17:43:39,47.32933731945153,8.054535273758367,2.37,1.0,1.000000000000002,2.374000000000001,0,1622532699
10511,81348,125,29904902.0,2021-06-01 18:03:01,47.32959346174258,8.054545351122579,2.36,1.0,1.000000000000002,2.374,0,1622531701
10512,81349,125,29909343.0,2021-06-01 20:12:16,47.32948825752318,8.054541107593332,2.37,1.0,1.000000000000002,2.374000000000001,0,1622535136
10968,84874,126,29868297.0,2021-06-01 06:27:08,47.33037638397642,8.054585306668011,1.71,1.0,0.8833333333333366,2.0100000000000007,0,1622515868
10969,84875,126,29872733.0,2021-06-01 06:47:11,47.33010159069578,8.05456766244602,2.4,1.0,0.9333333333333366,2.1460000000000004,0,1622517071
10970,84876,126,29891348.0,2021-06-01 15:12:44,47.33033829149964,8.054582032926097,2.3,1.0,0.9333333333333366,2.1260000000000003,0,1622527964
10971,84877,126,29895811.0,2021-06-01 15:32:31,47.33037858956065,8.054584499561756,2.37,1.0,1.0000000000000029,2.2360000000000007,0,1622529151
10972,84878,126,29900487.0,2021-06-01 17:43:32,47.3304120398944,8.054587643601227,1.59,0.6,0.9200000000000031,2.0740000000000007,2,1622532692
10973,84879,126,29904902.0,2021-06-01 18:03:39,47.33037408447571,8.054584669230817,2.44,1.0,0.9200000000000031,2.2200000000000006,0,1622531739
10974,84880,126,29909343.0,2021-06-01 20:12:05,47.330372187397344,8.05458439803672,1.38,0.8,0.8800000000000032,2.0160000000000005,1,1622535125
11430,88404,127,29868297.0,2021-06-01 06:27:03,47.33126592263972,8.054666884626124,2.26,1.0,0.9333333333333376,2.2680000000000007,0,1622515863
11431,88405,127,29872733.0,2021-06-01 06:47:48,47.33124816149294,8.054664845603236,2.12,0.6666666666666666,0.8666666666666707,2.252,0,1622517108
11432,88406,127,29891348.0,2021-06-01 15:12:37,47.331290563414115,8.054664269460256,2.23,1.0,0.9333333333333376,2.2300000000000004,0,1622527957
11433,88407,127,29895811.0,2021-06-01 15:32:37,47.33124279431564,8.054664152796661,2.23,1.0,0.9333333333333376,2.2220000000000004,0,1622529157
11434,88408,127,29900487.0,2021-06-01 17:43:27,47.33129175097115,8.054667699913626,2.24,1.0,0.9333333333333376,2.2160000000000006,0,1622532687
11435,88409,127,29904902.0,2021-06-01 18:03:48,47.331272812457456,8.054666419554524,2.31,1.0,0.9333333333333376,2.2260000000000004,0,1622531748
11436,88410,127,29909343.0,2021-06-01 20:11:56,47.33127321693193,8.054665935914347,2.27,1.0,1.000000000000004,2.2560000000000007,0,1622535116
11892,91934,128,29868297.0,2021-06-01 06:26:57,47.332145009881756,8.05460778632778,2.23,1.0,1.0000000000000049,2.2300000000000004,0,1622515857
11893,91935,128,29872733.0,2021-06-01 06:47:54,47.33217084199375,8.054603108132568,2.4,1.0,1.0000000000000049,2.2780000000000005,0,1622517114
11894,91936,128,29891348.0,2021-06-01 15:12:31,47.33222902868386,8.054594309967046,2.13,1.0,1.0000000000000049,2.2240000000000006,0,1622527951
11895,91937,128,29895811.0,2021-06-01 15:32:43,47.332170457753065,8.054603615761419,2.1,1.0,1.0000000000000049,2.2040000000000006,0,1622529163
11896,91938,128,29900487.0,2021-06-01 17:43:21,47.332198224571584,8.054598938390463,2.13,1.0,1.0000000000000049,2.1980000000000004,0,1622532681
11897,91939,128,29904902.0,2021-06-01 18:03:54,47.33216332811997,8.054605283313343,2.21,0.6,0.9200000000000048,2.1940000000000004,0,1622531754
